ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5008804,M,Y,Y,427500,Working,Higher education,Civil marriage,Rented apartment,-12005,-4542,,2
5008805,M,Y,Y,427500,Working,Higher education,Civil marriage,Rented apartment,-12005,-4542,,2
5008806,M,Y,Y,112500,Working,Secondary / secondary special,Married,House / apartment,-21474,-1134,Security staff,2
5008808,F,N,Y,270000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,Sales staff,1
5008809,F,N,Y,270000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,Sales staff,1
5008810,F,N,Y,270000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,Sales staff,1
5008811,F,N,Y,270000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,Sales staff,1
5008812,F,N,Y,283500,Pensioner,Higher education,Separated,House / apartment,-22464,365243,,1
5008813,F,N,Y,283500,Pensioner,Higher education,Separated,House / apartment,-22464,365243,,1
5008814,F,N,Y,283500,Pensioner,Higher education,Separated,House / apartment,-22464,365243,,1
5008815,M,Y,Y,270000,Working,Higher education,Married,House / apartment,-16872,-769,Accountants,2
5112956,M,Y,Y,270000,Working,Higher education,Married,House / apartment,-16872,-769,Accountants,2
6153651,M,Y,Y,270000,Working,Higher education,Married,House / apartment,-16872,-769,Accountants,2
5008819,M,Y,Y,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,Laborers,2
5008820,M,Y,Y,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,Laborers,2
5008821,M,Y,Y,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,Laborers,2
5008822,M,Y,Y,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,Laborers,2
5008823,M,Y,Y,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,Laborers,2
5008824,M,Y,Y,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,Laborers,2
5008825,F,Y,N,130500,Working,Incomplete higher,Married,House / apartment,-10669,-1103,Accountants,2
5008826,F,Y,N,130500,Working,Incomplete higher,Married,House / apartment,-10669,-1103,Accountants,2
5008830,F,N,Y,157500,Working,Secondary / secondary special,Married,House / apartment,-10031,-1469,Laborers,2
5008831,F,N,Y,157500,Working,Secondary / secondary special,Married,House / apartment,-10031,-1469,Laborers,2
5008832,F,N,Y,157500,Working,Secondary / secondary special,Married,House / apartment,-10031,-1469,Laborers,2
5008834,F,N,Y,112500,Working,Secondary / secondary special,Single / not married,House / apartment,-10968,-1620,,2
5008835,F,N,Y,112500,Working,Secondary / secondary special,Single / not married,House / apartment,-10968,-1620,,2
6153712,F,N,Y,112500,Working,Secondary / secondary special,Single / not married,House / apartment,-10968,-1620,,2
5008836,M,Y,Y,270000,Working,Secondary / secondary special,Married,House / apartment,-12689,-1163,Laborers,5
5008837,M,Y,Y,270000,Working,Secondary / secondary special,Married,House / apartment,-12689,-1163,Laborers,5
5008838,M,N,Y,405000,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,Managers,3
5008839,M,N,Y,405000,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,Managers,3
5008840,M,N,Y,405000,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,Managers,3
5008841,M,N,Y,405000,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,Managers,3
5008842,M,N,Y,405000,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,Managers,3
5008843,M,N,Y,405000,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,Managers,3
5008844,M,Y,Y,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,Drivers,2
5008846,M,Y,Y,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,Drivers,2
5008847,M,Y,Y,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,Drivers,2
5008849,M,Y,Y,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,Drivers,2
5008850,M,Y,Y,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,Drivers,2
5008851,M,Y,Y,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,Drivers,2
5008852,M,Y,Y,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,Drivers,2
5008853,M,Y,Y,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,Drivers,2
6153733,M,Y,Y,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,Drivers,2
6153734,M,Y,Y,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,Drivers,2
6153735,M,Y,Y,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,Drivers,2
5008854,F,Y,Y,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Laborers,4
5008855,F,Y,Y,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Laborers,4
5008856,F,Y,Y,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Laborers,4
5008857,F,Y,Y,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Laborers,4
5008858,F,Y,Y,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Laborers,4
5008859,F,Y,Y,135000,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,Laborers,4
